industry,industry_category,country,state,sector,size,assessment_year,certification_cycle,overall_score,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,impact_area_community_na_score,impact_area_customers_na_score,impact_area_environment_na_score,impact_area_governance_na_score,impact_area_workers_na_score,ia_environment_it_air_climate
Textiles,Manufactured Goods,China,Shanghai,Manufacturing, 10-49,2023,1.0,84.8,13.5,3.4,32.1,7.5,23.7,3.5,0.0,0.0,0.0,0.8,7.2
Textiles,Manufactured Goods,China,Shanghai,Manufacturing, 10-49,2020,2.0,81.4,11.3,2.0,33.7,7.1,21.1,2.7,0.0,0.0,0.0,3.2,3.5
Other financial services,Financial & insurance activities,Brazil,São Paulo,Service, 10-49,2019,1.0,89.0,22.0,11.6,5.4,16.3,24.0,3.3,0.0,0.2,0.0,5.8,1.4
Other financial services,Financial & insurance activities,Brazil,São Paulo,Service, 1-9,2015,2.0,84.9,18.0,7.9,6.2,15.2,35.4,0.7,0.0,1.5,0.0,0.0,2.9
Advertising & market research,Professional & technical services,New Zealand,Wellington Region,Service, 10-49,2022,1.0,85.4,18.2,6.3,7.9,17.0,29.6,2.4,0.0,0.0,0.0,3.7,1.1
Apparel,Wholesale,Turkey,Istanbul Province,Wholesale/Retail, 10-49,2022,1.0,114.3,23.6,5.0,40.4,10.7,26.2,3.9,0.0,0.0,0.0,4.3,9.2
Apparel,Wholesale,Turkey,Istanbul Province,Wholesale/Retail, 10-49,2019,2.0,98.5,22.5,7.5,35.7,7.7,15.1,3.7,0.0,0.3,0.0,5.7,7.1
Management consultant - for-profits,Professional & technical services,United Kingdom,Surrey,Service, 10-49,2022,1.0,92.4,19.6,9.6,6.0,17.6,31.3,0.0,0.0,5.2,0.0,2.8,2.2
Food products,Wholesale,United Kingdom,London Borough of Hammersmith and Fulham,Wholesale/Retail, 10-49,2021,1.0,86.8,15.0,3.3,22.7,14.3,27.7,0.9,0.0,0.2,0.0,2.3,5.3
Management consultant - for-profits,Professional & technical services,Netherlands The,North Holland,Service, 10-49,2020,1.0,90.3,15.0,12.1,10.9,19.8,28.7,0.0,0.0,0.8,0.0,2.6,2.8
